2026-04-17 17:50:50,981 [WARNING] No se pudo cargar robots.txt (Cannot connect to host www.smurfitkappa.com:443 ssl:default [getaddrinfo failed]). Se asume acceso permitido.
2026-04-17 17:50:50,981 [INFO] Iniciando crawl async: https://www.smurfitkappa.com/co | concurrencia=10
2026-04-17 17:50:51,051 [WARNING] [ERROR intento 1/3] https://www.smurfitkappa.com/co: Cannot connect to host www.smurfitkappa.com:443 ssl:default [getaddrinfo failed] → reintentando en 2.0s
2026-04-17 17:50:53,821 [INFO] [OK] https://www.smurfitkappa.com/co | 4,204 chars | 3 chunks
2026-04-17 17:51:02,221 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/people/people-values | 1,358 chars | 1 chunks
2026-04-17 17:51:02,251 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/people/people-strategy | 2,675 chars | 2 chunks
2026-04-17 17:51:02,304 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/download-centre?documentlocationplantcountry=Colombia&documentlocationplanttitle=Smurfit Westrock Corrugado Bogotá &lastChangedFacet=documentlocationplanttitle | 6,108 chars | 5 chunks
2026-04-17 17:51:02,335 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/download-centre?documentlocationplantcountry=Colombia&documentlocationplanttitle=Smurfit Westrock Corrugado Barranquilla&lastChangedFacet=documentlocationplanttitle | 5,747 chars | 5 chunks
2026-04-17 17:51:02,367 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/download-centre?documentlocationplantcountry=Colombia&documentlocationplanttitle=Smurfit Westrock Corrugado Cali&lastChangedFacet=documentlocationplanttitle | 5,791 chars | 5 chunks
2026-04-17 17:51:02,404 [INFO] [OK] https://www.smurfitkappa.com/co/locations/colombia/corrugado-barranquilla | 1,134 chars | 1 chunks
2026-04-17 17:51:02,434 [INFO] [OK] https://www.smurfitkappa.com/co/locations/colombia/corrugado-cali | 1,143 chars | 1 chunks
2026-04-17 17:51:02,455 [INFO] [OK] https://www.smurfitkappa.com/co/locations/colombia/corrugado-bogota | 1,328 chars | 1 chunks
2026-04-17 17:51:02,792 [INFO] [OK] https://www.smurfitkappa.com/co/locations/colombia/corrugado-medellin | 964 chars | 1 chunks
2026-04-17 17:51:02,852 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/download-centre?documentlocationplantcountry=Colombia&documentlocationplanttitle=Smurfit Westrock Corrugado Medellín&lastChangedFacet=documentlocationplanttitle | 5,934 chars | 5 chunks
2026-04-17 17:51:03,038 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/download-centre?documentlocationplantcountry=Colombia&documentlocationplanttitle=Smurfit Westrock División Forestal Colombia&lastChangedFacet=documentlocationplanttitle | 5,881 chars | 5 chunks
2026-04-17 17:51:03,092 [INFO] [OK] https://www.smurfitkappa.com/co/locations/colombia/forestal-colombia | 1,008 chars | 1 chunks
2026-04-17 17:51:03,179 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/download-centre?documentlocationplantcountry=Colombia&documentlocationplanttitle=Smurfit Westrock Molino Barranquilla&lastChangedFacet=documentlocationplanttitle | 5,873 chars | 5 chunks
2026-04-17 17:51:03,500 [INFO] [OK] https://www.smurfitkappa.com/co/locations/colombia/molino-barranquilla | 842 chars | 1 chunks
2026-04-17 17:51:03,562 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/download-centre?documentlocationplantcountry=Colombia&documentlocationplanttitle=Smurfit Westrock Sacos de Papel&lastChangedFacet=documentlocationplanttitle | 5,747 chars | 5 chunks
2026-04-17 17:51:03,584 [INFO] [OK] https://www.smurfitkappa.com/co/sustainability/download-centre?documentlocationplantcountry=Colombia&documentlocationplanttitle=Smurfit Westrock Molinos Cali&lastChangedFacet=documentlocationplanttitle | 6,018 chars | 5 chunks
2026-04-17 17:51:03,624 [INFO] [OK] https://www.smurfitkappa.com/co/locations/colombia/smurfit-kappa-molinos-cali | 870 chars | 1 chunks
2026-04-17 17:51:03,654 [INFO] [OK] https://www.smurfitkappa.com/co/locations/colombia/sacos-cali | 902 chars | 1 chunks
2026-04-17 17:51:04,155 [INFO] --- Progreso: 54 páginas scrapeadas | 207 en cola ---
2026-04-17 17:51:04,907 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/sacos/innovacion | 1,793 chars | 2 chunks
2026-04-17 17:51:04,976 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/sacos/boca-abierta | 1,906 chars | 2 chunks
2026-04-17 17:51:05,028 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/paper-and-board/cartulina-optima/herramienta-de-conversion | 9,456 chars | 7 chunks
2026-04-17 17:51:05,074 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/sacos/certificaciones | 1,324 chars | 1 chunks
2026-04-17 17:51:05,427 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/paper-and-board/cartulina-optima/atributos | 9,412 chars | 8 chunks
2026-04-17 17:51:05,537 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/paper-and-board/cartulina-optima/certificaciones | 10,326 chars | 8 chunks
2026-04-17 17:51:05,563 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/paper-and-board/cartulina-optima/especificaciones-tecnicas | 9,568 chars | 7 chunks
2026-04-17 17:51:05,651 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/sacos/servicio-total | 2,112 chars | 2 chunks
2026-04-17 17:51:05,688 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/sacos/saco-valvulado | 1,939 chars | 2 chunks
2026-04-17 17:51:05,708 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/sacos/sostenibilidad | 2,955 chars | 3 chunks
2026-04-17 17:51:05,800 [INFO] [OK] https://www.smurfitkappa.com/co/sectors/beverages/bottle-packaging | 2,099 chars | 2 chunks
2026-04-17 17:51:06,119 [INFO] [OK] https://www.smurfitkappa.com/co/sectors/health-and-beauty/ecommerce-packaging | 6,897 chars | 6 chunks
2026-04-17 17:51:06,250 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/10-most-popular-ecommerce-boxes | 7,199 chars | 6 chunks
2026-04-17 17:51:06,383 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/a-guide-to-ista-packaging-testing | 8,635 chars | 7 chunks
2026-04-17 17:51:06,655 [INFO] [OK] https://www.smurfitkappa.com/co/innovation/success-stories/priwatt | 1,816 chars | 2 chunks
2026-04-17 17:51:06,930 [INFO] [OK] https://www.smurfitkappa.com/co/innovation/success-stories | 17,767 chars | 14 chunks
2026-04-17 17:51:06,965 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/ecommerce-packaging/food-delivery | 6,302 chars | 5 chunks
2026-04-17 17:51:06,993 [INFO] [OK] https://www.smurfitkappa.com/co/innovation/success-stories/foxcol | 1,815 chars | 2 chunks
2026-04-17 17:51:07,015 [INFO] [OK] https://www.smurfitkappa.com/co/innovation/success-stories/nemlig | 2,096 chars | 2 chunks
2026-04-17 17:51:07,053 [INFO] [OK] https://www.smurfitkappa.com/co/innovation/success-stories/toalco | 1,135 chars | 1 chunks
2026-04-17 17:51:07,570 [INFO] --- Progreso: 74 páginas scrapeadas | 319 en cola ---
2026-04-17 17:51:08,358 [INFO] [OK] https://www.smurfitkappa.com/co/innovation/success-stories/signify-lighting | 1,906 chars | 2 chunks
2026-04-17 17:51:08,408 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/dairy-and-liquid-eggs | 2,988 chars | 2 chunks
2026-04-17 17:51:08,433 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/detergents | 3,305 chars | 3 chunks
2026-04-17 17:51:10,469 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/alcoholic-beverages | 2,851 chars | 2 chunks
2026-04-17 17:51:10,690 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/supplysmart | 2,575 chars | 2 chunks
2026-04-17 17:51:10,720 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/juices | 3,530 chars | 3 chunks
2026-04-17 17:51:10,827 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/edible-oils | 2,938 chars | 2 chunks
2026-04-17 17:51:10,920 [INFO] [OK] https://www.smurfitkappa.com/co/innovation/success-stories/vetnordic | 2,171 chars | 2 chunks
2026-04-17 17:51:10,951 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/wine | 3,421 chars | 3 chunks
2026-04-17 17:51:10,974 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/sustainability | 4,817 chars | 4 chunks
2026-04-17 17:51:11,007 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/automotive | 2,969 chars | 3 chunks
2026-04-17 17:51:11,043 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/water | 2,996 chars | 3 chunks
2026-04-17 17:51:11,066 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/food-contact | 3,131 chars | 3 chunks
2026-04-17 17:51:11,472 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/expertise | 2,653 chars | 2 chunks
2026-04-17 17:51:11,734 [INFO] [OK] https://www.smurfitkappa.com/co/contact | 453 chars | 1 chunks
2026-04-17 17:51:11,760 [INFO] [OK] https://www.smurfitkappa.com/co/products-and-services/bag-in-box/quality | 2,534 chars | 2 chunks
2026-04-17 17:51:12,144 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/how-shelf-ready-packaging-can-increase-sales | 7,912 chars | 7 chunks
2026-04-17 17:51:12,199 [INFO] [OK] https://www.smurfitkappa.com/co/innovation/success-stories/aquachile | 1,204 chars | 1 chunks
2026-04-17 17:51:12,218 [INFO] [OK] https://www.smurfitkappa.com/co/innovation/success-stories/asahi | 2,326 chars | 2 chunks
2026-04-17 17:51:12,242 [INFO] [OK] https://www.smurfitkappa.com/co/innovation/success-stories/verfrut | 1,723 chars | 2 chunks
2026-04-17 17:51:12,727 [INFO] --- Progreso: 94 páginas scrapeadas | 312 en cola ---
2026-04-17 17:51:13,676 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/trazabilidad-carton-economia-circular | 4,612 chars | 4 chunks
2026-04-17 17:51:13,702 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026/boletin-circular-marzo-2026 | 7,119 chars | 6 chunks
2026-04-17 17:51:13,725 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/soluciones-empaques-productos-fragiles | 4,749 chars | 4 chunks
2026-04-17 17:51:13,743 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/ecodiseno-empaques-eficiencia-sostenibilidad | 5,384 chars | 5 chunks
2026-04-17 17:51:13,802 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/empaques-listos-para-la-venta-optimizan-retail | 5,890 chars | 5 chunks
2026-04-17 17:51:13,843 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/diseno-inteligente-empaques | 5,764 chars | 5 chunks
2026-04-17 17:51:13,877 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/empaque-diferencial-ecommerce-america-latina | 5,726 chars | 5 chunks
2026-04-17 17:51:13,925 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/fitomejoramiento-que-es-y-como-lo-aplica-smurfit-westrock | 13,886 chars | 11 chunks
2026-04-17 17:51:13,965 [INFO] [OK] https://www.smurfitkappa.com/co/contact/request-a-quote | 167 chars | 1 chunks
2026-04-17 17:51:13,991 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/top-10-retail-packaging-boxes | 6,539 chars | 5 chunks
2026-04-17 17:51:15,167 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/como-optimizar-empaque-campanas-fin-de-ano | 4,760 chars | 4 chunks
2026-04-17 17:51:15,260 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/certificaciones-ambientales-sostenibilidad | 5,199 chars | 4 chunks
2026-04-17 17:51:15,292 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026/smurfit-westrock-merco-esg-2025-ranking | 2,598 chars | 2 chunks
2026-04-17 17:51:15,323 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026/suenos-sobre-ruedas-graduacion-jovenes-yumbo | 3,162 chars | 3 chunks
2026-04-17 17:51:15,365 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/como-otimizar-embalagens-campanhas-fim-de-ano | 4,760 chars | 4 chunks
2026-04-17 17:51:15,399 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/blog/tendencias-empaques-2026 | 7,008 chars | 5 chunks
2026-04-17 17:51:15,400 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026/smurfit-westrock-reconocimiento-grupo-boticario-desempeno-esg | 3,390 chars | 3 chunks
2026-04-17 17:51:15,481 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026/tendencias-empaque-2026-colombia-america-latina | 4,806 chars | 4 chunks
2026-04-17 17:51:15,495 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026/boletin-circular-febrero | 4,691 chars | 4 chunks
2026-04-17 17:51:15,495 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026/adquisicion-planta-ecuador-de-sw | 2,148 chars | 2 chunks
2026-04-17 17:51:16,017 [INFO] --- Progreso: 114 páginas scrapeadas | 312 en cola ---
2026-04-17 17:51:16,907 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2026/boletin-circular-enero-2026 | 4,861 chars | 4 chunks
2026-04-17 17:51:17,020 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/graduacion-itaf-cauca-valle-2025 | 4,276 chars | 4 chunks
2026-04-17 17:51:17,068 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/exportacion-pollo-colombia-asia-empaque-sostenible | 4,544 chars | 4 chunks
2026-04-17 17:51:17,092 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/premio-portafolio-smurfit-westrock-cauca-rse-2025 | 3,892 chars | 3 chunks
2026-04-17 17:51:17,134 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/sabiduria-salvaje-ganadores-colombia-2025 | 4,769 chars | 4 chunks
2026-04-17 17:51:17,167 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/stay-connected | 702 chars | 1 chunks
2026-04-17 17:51:17,187 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/boletin-circular-noviembre-2025 | 6,431 chars | 6 chunks
2026-04-17 17:51:17,203 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/te-aplaudo-2025-premios-proveedores-brinsa | 2,090 chars | 2 chunks
2026-04-17 17:51:17,238 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/boletin-circular-diciembre-2025 | 6,642 chars | 5 chunks
2026-04-17 17:51:17,265 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/premio-civico-2025-iniciativas-ganadoras-valle-del-cauca | 5,588 chars | 4 chunks
2026-04-17 17:51:17,759 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/boletim-circular-novembro-2025 | 6,431 chars | 6 chunks
2026-04-17 17:51:17,840 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/premio-xposible-smurfit-westrock-conservacion-oso-andino-cauca | 3,301 chars | 3 chunks
2026-04-17 17:51:17,908 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/premio-lazos-2025-britcham-un-cauca-de-oportunidades | 3,713 chars | 3 chunks
2026-04-17 17:51:18,162 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/smurfit-westrock-tres-barras-50-anos-inovacao-sustentavel | 2,757 chars | 3 chunks
2026-04-17 17:51:18,241 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/smurfit-westrock-mejoramiento-vial-riosucio-obras-por-impuestos | 3,974 chars | 4 chunks
2026-04-17 17:51:18,427 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/smurfit-westrock-fundacion-graduacion-jovenes-valle-del-cauca | 3,013 chars | 3 chunks
2026-04-17 17:51:18,452 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2025/premio-emprender-paz-educacion-rural-colombia | 2,417 chars | 2 chunks
2026-04-17 17:51:18,469 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/smurfit-westrock-named-best-irish-company-in-france | 3,107 chars | 3 chunks
2026-04-17 17:51:18,491 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/educacion-rural-graduacion-itaf-cauca-2024 | 3,036 chars | 3 chunks
2026-04-17 17:51:18,507 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/smurfit-westrock-tres-barras-50-anos-innovacion-sostenible | 2,789 chars | 3 chunks
2026-04-17 17:51:19,034 [INFO] --- Progreso: 134 páginas scrapeadas | 297 en cola ---
2026-04-17 17:51:21,016 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/smurfit-westrock-celebro-el-better-planet-packaging-day | 3,227 chars | 3 chunks
2026-04-17 17:51:21,034 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/smurfit-westrock-colombia-y-wwf-colombia-unen-esfuerzos-para-promover-la-sostenibilidad | 3,141 chars | 3 chunks
2026-04-17 17:51:21,052 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/smurfit-kappa-inaugura-espacios-para-transformacion-de-yumbo | 3,527 chars | 3 chunks
2026-04-17 17:51:21,602 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/alas-de-papel | 1,393 chars | 1 chunks
2026-04-17 17:51:21,649 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/licenciamiento-marca-pais-esencial-costa-rica | 2,328 chars | 2 chunks
2026-04-17 17:51:21,807 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/polideportivo-itaf-cajibio | 3,006 chars | 3 chunks
2026-04-17 17:51:21,835 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/dialogo-cop16-restauracion-ecologica-plantaciones-forestales | 3,521 chars | 3 chunks
2026-04-17 17:51:21,858 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/alianza-casa-humboldt-cop16 | 2,749 chars | 3 chunks
2026-04-17 17:51:21,903 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2024/ganadores-concurso-sabiduria-salvaje-cop16 | 2,624 chars | 2 chunks
2026-04-17 17:51:22,029 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/smurfit-kappa-gradua-bachilleres-en-cajibio-y-el-tambo-cauca | 2,635 chars | 2 chunks
2026-04-17 17:51:22,061 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/sk-colombia-premio-civico-2023 | 4,731 chars | 4 chunks
2026-04-17 17:51:22,180 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/smurfit-kappas-innovative-supplysmart-solution-helps-businesses-think-outside-the-box | 3,612 chars | 3 chunks
2026-04-17 17:51:22,953 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/smurfit-kappa-comes-out-top-amongst-pepsicos | 2,905 chars | 2 chunks
2026-04-17 17:51:23,002 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/fundacion-sk-colombia-gradua-jovenes-itaf | 2,027 chars | 2 chunks
2026-04-17 17:51:23,019 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2022/fundacion-abriendo-caminos | 3,056 chars | 3 chunks
2026-04-17 17:51:23,036 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/smurfit-kappa-inaugura-puente-sobre-el-rio-ortega | 4,068 chars | 3 chunks
2026-04-17 17:51:23,336 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/sk-ganador-premios-acccsa | 3,731 chars | 3 chunks
2026-04-17 17:51:23,373 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/alternative-to-nylon-pe-film-for-bib | 1,996 chars | 2 chunks
2026-04-17 17:51:23,866 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2022/entregamos-alegria-esta-navidad-en-yumbo | 2,851 chars | 2 chunks
2026-04-17 17:51:23,882 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2023/sk-ecuador---nueva-linea-de-sacos | 2,703 chars | 2 chunks
2026-04-17 17:51:24,407 [INFO] --- Progreso: 154 páginas scrapeadas | 279 en cola ---
2026-04-17 17:51:25,129 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2022/sk-mejor-proveedor-empaques-bimbo | 3,483 chars | 3 chunks
2026-04-17 17:51:25,201 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2022/smurfit-kappa-taps-into-growing-online-wine-sales-with-ecommerce-wine-packaging-portfolio | 2,902 chars | 2 chunks
2026-04-17 17:51:25,217 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2022/world-first-as-hydrogen-successfully-trialled-at-smurfit-kappa-plant-with-hyflexpower-demonstrator | 4,970 chars | 4 chunks
2026-04-17 17:51:25,249 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2022/lanzamiento-tienda-virtual-todo-carton | 3,265 chars | 3 chunks
2026-04-17 17:51:25,280 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2022/sk-finalista-premios-portafolio | 3,734 chars | 3 chunks
2026-04-17 17:51:25,299 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2022/grados-itaf | 2,360 chars | 2 chunks
2026-04-17 17:51:25,313 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2022/fsk-mision-regional-de-la-asociacion-de-fundaciones-empresariales | 3,724 chars | 4 chunks
2026-04-17 17:51:25,390 [INFO] [OK] https://www.smurfitkappa.com/co/newsroom/2022/estructurando-el-carton-usb-cali | 2,500 chars | 2 chunks
